Naive,RandomizeUpdate,Randomize,KMP,Boyer-Mooer,String.indexOf
3799606,483254269,472060307,5696138,1210016,4570
4512086,494597416,495072832,6374990,1281467,3222
3758761,474678170,452968736,5546527,1191815,3319
4092017,459882061,461205480,5596154,1186730,3481
4478580,519352602,506363829,6135584,1257892,3565
4708915,544814839,516366130,6420005,1378257,3393
4634096,537568708,534472226,6451008,1341182,3498
3818651,474095057,475208745,5828698,1227983,3059
4652246,458535214,458449654,6705086,1214429,3392
4386084,469048452,467802814,5967008,1169462,3602
4819199,449272364,447648866,8277691,1254617,3209
4480103,591750581,590697687,7805589,1443264,3527
4494746,489711172,489870611,5975792,1163334,3634
4578157,554869439,551789065,6615982,1365069,3449
4457860,532064286,529553848,6454807,1312129,3667
4122590,467557159,468158114,5697886,1461770,3186
4629165,506229926,501876301,6038689,1173333,3024
3841468,496068283,494452714,5955345,1246786,3211
4327622,527467392,527247075,6378143,1281330,3202
4183651,561345709,553385383,7931125,1273831,3337
4630488,573503072,571322368,7139023,1494065,3684
4609104,531811830,528854942,6418099,1341970,3713
4817361,496250481,494869929,5969922,1137960,3253
4248198,454849546,453260307,5661056,1125537,3279
4584017,461776091,459567017,5908644,1171803,3291
4293134,491323773,493489739,6077773,1177521,3157
4845526,558943298,563364099,7127228,1519762,3552
3935118,480395612,461404686,5678448,1193877,3232
4339648,553769433,555059129,6755126,1403542,3756
6060273,716426319,688151468,8287168,1733013,5055
7489888,830929436,831081417,9806710,2049557,5508
6148015,855168503,843473709,9702130,2120321,5712
4674724,678447783,659902728,7662468,1588295,4067
5395777,616406284,612260058,7393508,1510765,3982
5193241,613329319,605118366,7285190,1445368,3881
4101868,484695187,485768346,6001443,1259128,3485
4208824,530131182,526527939,6787301,1432369,3721
4887864,543097971,543133096,6741231,1369282,3500
4601499,571148999,575241800,6644015,1327521,4075
5093243,636931859,631936881,7451676,1597444,3809
5491120,585167177,584504480,6963948,1430508,4213
5045163,531937934,534800752,6596197,1360144,3642
5127404,642086902,636076193,7342172,1454317,3662
5818283,485619683,483184836,5840152,1245108,3468
4027462,467511414,471156147,5884580,1231531,3494
5173481,565340286,569243956,6863054,1401379,3818
4682890,623625503,615749888,7222076,1458620,3860
5083012,586417341,578230246,7150773,1478389,4153
4459053,605095662,603997322,6933442,1411780,3531
4199353,612908416,610071698,6927238,1401355,3412
4446076,468930769,468482313,5936727,1241947,3570
4464942,563369034,554931136,6767826,1364828,3765
4236899,576980237,573274853,7451392,1364671,3341
4298047,484356710,477670245,5842985,1176872,3203
4439541,492683252,491367773,7340608,1244120,3301
4115236,504597993,501186827,6148879,1260909,3263
4467586,533768323,529316298,6306657,1330771,3399
4030327,520404461,520109384,6183863,1343190,3741
4211880,553975377,557119789,6706725,1371070,3772
7992997,859608668,855915049,12405402,2411537,6237
7908380,835848028,821418181,13628078,2255042,6680
6006611,717059128,714027280,9027552,1809979,4786
5135586,648262911,642869975,8206184,1699580,4715
5185224,721701399,720348792,9034892,1911590,4440
4890375,464493296,461639599,6309470,1339988,3816
4734542,568632080,560704302,7475545,1505612,3654
5128026,535045583,537288446,7522400,1481371,4081
6013004,624655700,621695135,14010629,1906655,4689
4929034,575918926,570817320,7095257,1570979,4367
5064245,638500811,619634929,7324107,1499585,3814
4519498,555883685,555965133,6748811,1564641,3616
4469986,515652753,518016123,6311345,1366935,3549
4369271,567140269,564055456,6506912,1328996,3267
4266287,518163567,519832598,6272331,1359211,4045
3651855,432123294,425779704,5329631,1189458,3205
3811901,500171779,509804119,6065374,1216932,4046
3972334,488292234,486452809,6266335,1364329,4004
3799141,522390898,523664981,6472508,1354124,3238
6110421,550013989,547258649,8009137,1567849,4481
6150329,642800316,649855054,8102343,1656210,4242
4696753,531262499,530386471,7595578,1399247,4159
6007015,637397320,626853368,8285301,1787340,544246
7454067,907247094,915799421,10704884,2254034,6148
6608586,804554378,788841593,9778082,2100201,5848
4959568,617297653,615155346,7593846,1794814,4055
4651630,523846589,521247866,6553321,1382816,4221
4635871,572697565,549784826,7001603,1493189,4103
4125265,598128403,593468265,7828231,1373786,3752
4483267,509820502,509843752,6288293,1328517,3516
4163072,657726878,620358327,7236464,1497271,3552
