Naive, Randomized, KMP, Boyer-Mooer, String.indexOf
9553580,9539373,13470753,2953932,23306
9778325,9745491,13947317,3069314,24273
9821057,9821840,13943123,3110715,24247
9143450,9111674,12864264,2916742,22496
8928830,8987911,12726971,2786052,22198
9351034,9348959,13415851,2969212,23570
9416357,9326064,13908832,3116585,23274
8788189,8757518,12370869,2688529,22122
9466297,9562938,13540186,3010648,23460
9255820,9226343,13210834,2906019,22925
9188924,9292295,13258552,2713041,22340
9684313,9740049,13854172,3071150,30652
10797579,10585324,14550813,3313338,26730
10502807,10537636,14383345,3198539,35994
10615832,10719201,14388389,3151188,25279
9359778,9342662,13199651,2884084,22908
9183988,9225177,12891249,2798041,22270
9722983,9735396,13073892,2958277,24253
10311874,10312559,14175231,3018641,24568
9209910,9189552,13239189,2900173,22697
9785506,9760351,13443101,3006624,23153
9220749,9293045,13314922,2913765,22588
9108338,9100973,12717456,2806013,22292
9319312,9308145,13524491,3068997,23339
13793734,13565038,17477593,4271556,35831
16231360,16286764,19850750,5397384,36747
13037095,13171234,16920880,3986824,29229
10221992,10146816,13786015,3168011,25290
10615745,10618141,14441816,3234282,25214
9783847,9773742,13422825,2938962,23500
10275173,10291891,13962312,3100918,23557
9339004,9355020,13159929,2843294,22361
11147398,11009619,15530635,3508989,26457
9883508,9923217,14334500,3037910,23625
10013878,9914821,14362492,3166202,24299
9792624,9802010,14194995,3256043,23527
9415144,9418038,13107355,2886671,23508
9767227,9737417,13938909,2927014,22971
9940780,9852881,14343339,3280548,24444
10149136,10157744,13468383,2936941,30698
10005079,10049531,14141233,3080786,23915
10738762,10591747,14147874,3267331,24785
9595772,9565079,13000510,2848339,22222
11161338,11116835,15517210,3373134,25373
9481879,9447276,12866260,2812176,22240
10277062,10196119,14123804,3094952,66158
10110967,10090140,13890495,3013030,23298
10464734,10417601,14888409,3343608,24706
10363889,10405020,13813382,3002944,23729
9700791,9631508,13921519,3091897,23023
9235879,9173215,13668432,2967255,22303
9991583,9980052,14172504,3063818,23050
10390674,10470940,14639005,3231180,24349
10883820,10931895,14517505,3202371,32396
10301782,10350192,14396027,3246824,24239
10375892,10561532,14531882,3176532,23627
10233551,10222713,14068579,3137094,23903
9869814,9982565,14155920,3141661,23261
10830685,10708688,15223499,3400506,24617
10919849,10915646,14705781,3258611,24977
10378008,10290113,14308684,3171491,23595
10246606,10290173,14309215,3100053,23168
10577543,10500557,14336245,3138540,24038
9648473,9648317,13760458,2909888,22309
10173004,10088974,14500175,3210664,23094
12469769,10441382,14394260,3125001,23773
10611835,10713679,14749673,3237764,23777
10633650,10524273,14490936,3182795,23883
10425114,10487864,14575646,3190030,23364
9692367,9694514,14158499,3109490,22316
10585362,10526563,14641660,3322453,23485
10488849,10508085,14779415,3274283,23537
10401698,10443081,15570051,3222173,23526
9880708,9847187,13459754,2903341,22404
11133534,11129057,15595065,3332224,24360
9765360,9757811,13743193,3019886,22349
10752136,10717662,15014250,3354989,24466
9752169,9779458,13705394,3013693,22282
11700018,11513562,15875995,3561058,25610
11183276,11116809,17902752,3512951,32258
10325638,10253847,14890766,3324137,23222
10995901,11042690,15552153,3470318,24896
10752520,10742882,14344925,3200308,23456
10525102,10560145,15411242,3417206,24577
11172009,11107436,15584187,3540558,24306
9721482,9739109,13707349,3009982,22199
10805339,10828998,14355349,3187743,23396
10821419,10811797,15201288,3357215,24188
10725079,10569487,15069313,3282807,23262
10068346,10009449,14186713,3189926,22578
10764281,10759837,15393293,3488417,24523
10264649,10285230,14641651,3196532,22564
11508456,11510584,15413686,3362447,24408
10654174,10693115,14487582,3105130,22520
10537648,10463427,15494139,3458835,23265
10352566,10275762,14527607,3216277,22541
10653308,10786655,17668844,3374768,24007
9955577,9993198,14092838,3159287,23218
10783946,10763407,15984812,3529972,23872
10669429,10721987,14654013,3169494,22891
10777390,10706989,14704162,3257350,31529
10201041,10107702,14376409,3156810,22941
10859960,11067702,15008424,3331537,23968
10292546,10245429,14492902,3229678,22848
10572355,10505997,14642257,3266545,23072
10504359,10468728,14080511,3057807,22449
10600849,10577482,14939864,3407477,23391
10423563,10382207,14370158,3121337,22678
12382658,12291819,16637030,3747103,33196
11001968,11049881,15829756,3460836,24587
11499430,11533824,15535854,3345118,24264
10503397,10390372,14851379,3278124,23163
11132735,11166927,15821316,3531350,24298
10534323,10647067,15772691,3235941,22779
10791122,10965413,15758968,3261854,22753
10877660,10853558,14955320,3347664,23678
11197700,11110174,16171903,3569512,24555
10606509,10722661,15030235,3374839,23064
10944751,11014469,15463613,3466664,24320
10248299,10306941,14686549,3272398,22723
11586785,11651340,16797300,3681241,25004
10187974,10131142,14934134,3286667,22774
11028484,10932277,15582402,3451987,22999
10649932,10483789,14990971,3301737,22462
10760003,10735521,15227327,3417267,23289
10192174,10236021,14391920,3248836,22489
11343331,11194332,15482236,3425078,23746
10528892,10550791,15694642,3220778,22464
11684751,11648677,16441015,3693883,24524
10486334,10549199,15084685,3322626,22942
11053189,11040475,15188838,3308154,22616
11582777,11616443,16451021,3603181,24779
12000532,11936270,15631825,3325360,24397
10452237,10449056,15078768,3319745,22509
10503592,10690704,15003606,3235048,22863
10186837,10112708,14798884,3286650,22438
11147159,11081652,15821241,3441352,22453
10739744,10705970,15388711,3327512,22433
10815669,10761562,15051029,3319060,22864
10631313,10998039,15583954,3162595,22448
11251695,11210238,16658733,3568820,23176
10695520,10741927,15410487,3325081,22717
11214660,11238204,15263114,3335665,23686
10763796,10751359,15291495,3328232,23125
11250807,11226910,15910689,3480983,23804
11914225,11827817,16360646,3616423,31789
11597347,11535018,17113785,3621134,24050
10608265,10515609,15252805,3264867,22258
11546493,11519780,16084787,3581143,24708
13493827,13365654,18361410,4063775,28177
13223427,13050939,18227840,3893287,25903
11057677,11081535,15988148,3468373,22844
11165955,11179894,15681465,3420873,23116
11303009,11350651,15855224,3447336,23498
11516070,11529747,16297292,3525457,23363
11591078,11585568,15748158,3431297,23860
11049287,10999782,16307396,3572019,23238
10776158,10744187,15503119,3353655,34302
11497338,11391022,16370249,3602637,24022
11155260,11127736,15228185,3276564,22428
11753816,11806079,16696490,3695357,24469
11559057,11567248,15350616,3412349,23482
11779209,11654516,16398697,3565063,23555
12090596,12014870,16782621,3706404,24255
11218621,10853520,15514115,3423060,22665
10555375,10552510,15287869,3424925,22617
11536168,11523767,16034755,3580561,23651
11226067,11196724,15752547,3490672,23212
11135751,11105051,16220972,4438766,23593
11490393,11438749,16621116,3488221,22934
12248484,12151322,17873693,3697341,31546
11622262,11565229,16413427,3662175,24311
11349342,11301524,16516751,3592799,22766
11419586,11498122,15775416,3405436,30613
13021829,11436960,16516707,3559123,23086
11040585,11109695,15946341,3472684,23106
11907429,11858945,16752703,3625957,23697
11627313,11602605,16135944,3601937,23868
10704577,10716889,15713141,3453179,22642
11124872,11162562,15846162,3398098,33989
11136124,11123025,15411745,3401873,22554
11314905,11340180,16137921,3508739,23103
12436103,12494007,17126287,3687631,31412
12056364,12057213,16147438,3588462,38694
12198399,12236975,16815082,3736949,24140
11507019,11568256,16240154,5676460,23220
12007637,12131340,17702420,3764755,24714
12195104,12192041,17115315,3770557,24545
12186974,12238266,17059107,3642923,23638
11615814,11670112,16315016,3514066,22437
11032052,11155723,15773784,3441295,22285
11594348,11563282,16191936,3428011,22396
11881308,11761596,17001334,3735552,23937
11204609,11092133,16023279,3502390,22531
12088900,12157945,16800632,3659112,23627
12512992,12497309,17225142,3719852,24502
11692665,11690302,15900856,3444270,22836
11488315,11450449,15849060,3490733,24216
11770228,11697297,16518238,3629689,23027
12254643,12329562,17214983,3749818,23598
12140501,12002981,16522978,3617923,23816
12035120,11990569,16726558,3597799,22843
12420826,12504958,17727495,3862136,23805
12411044,12496068,17221122,3702193,24521
11751374,11731717,15858257,3417692,22795
12136032,11988936,16829542,3675358,23465
11462418,11544291,16116339,3573231,22751
11717850,11717115,17298026,3821236,23907
12192584,12288083,16580374,3605718,22759
12549814,12505104,16977573,3679702,24130
12260319,12264183,17731104,3683328,23395
11330518,11394839,16266288,3522689,22547
11639344,11519687,16603216,3663224,22854
12450015,12434383,17033748,3622265,23787
12765684,12717855,17406859,3746690,23845
11410561,11462290,16257923,3499122,29669
11545595,11626758,16836951,3645479,22699
11823243,11844590,15934743,3474263,22720
11588229,11548080,16732342,3621814,36555
11613807,11555761,16479146,3577994,22683
11910667,11941148,16707889,3644277,22714
11622846,11507951,16552657,3546440,22582
12064771,12033270,17265901,3753266,23381
11758068,11752627,16994840,3528228,22270
12160862,12173732,17038469,3579205,22509
12311881,12096051,17202858,3681523,22748
12853711,12797534,17835886,3972856,24769
12069245,12019379,17047471,3631788,22663
12230084,12205849,16833649,3636743,22716
11964178,11943190,16307682,3557932,22612
11984269,11971311,17298437,3777215,22667
12163335,12187531,16811328,3658384,29936
12077843,12147824,17112510,3639750,22621
12305779,12357347,16648391,3603048,23320
12014267,11961313,16878174,3767451,23008
12828478,12849878,18311159,3983701,24441
12546032,12483750,17575097,3765039,23542
11721852,11588359,17027134,3686611,22984
12833105,12896608,18539119,3998405,24616
11742821,11788551,16625258,3573974,22311
11794246,11727036,17047419,3684961,22411
13059228,13042623,18563514,4118340,25955
12464388,12348283,18288262,3826543,23254
12432534,12431626,16678638,3633605,24131
11776690,11793728,16831697,3698721,23483
12033340,11984625,16921373,3703456,23267
11860856,11792581,18022234,3720459,22423
11976232,11980745,17354235,3723321,22498
12057878,12059741,17068714,3734446,22483
11820913,11856768,17256009,3795847,22305
11965335,11950506,17222879,3734607,22344
11744252,11692198,17146572,3697255,22343
12231656,12227968,17058879,3624604,22661
12733313,12743432,17555862,3803483,23429
13162652,13085168,18379196,4094684,25268
13106384,13033341,17562760,3763771,23387
12874111,13009127,17308168,3803720,23259
